[WARN ] 2021-04-05 10:58:32,345 com.rds.utils.Api - Failed to parse the following json while querying account holdings: {"code":-1021,"msg":"Timestamp for this request is outside of the recvWindow."}
[WARN ] 2021-04-05 10:58:32,345 com.rds.Runner - Failed to get initial BTC holdings
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.035257899999999995
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 78.87756526594802. MACD: -1.9254016508449395E-4. Average: 0.035377907999999986
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.0352325
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 71.04584527220611. MACD: -2.1253636513999028E-4. Average: 0.03537172666666666
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.03522175
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 62.980132450330856. MACD: -2.2544937615423218E-4. Average: 0.035365429333333316
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.0352109
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 60.42271700548614. MACD: -2.194328347669063E-4. Average: 0.03535910666666665
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.0351848
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 43.66597235372308. MACD: -2.0396445475643607E-4. Average: 0.035351929333333316
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.03518545
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 16.92264730522676. MACD: -1.778227407039867E-4. Average: 0.035344615999999995
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - New average value: 0.03518275
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - RSI: 0.42735042734902606. MACD: -1.4360472428044202E-4. Average: 0.03533747333333333
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - New average value: 0.0351661
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - RSI: 0.43741588155981503. MACD: -7.750234692819386E-5. Average: 0.03533027933333333
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - New average value: 0.03511835
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - RSI: 0.3413865546207404. MACD: 9.94608142638708E-6. Average: 0.035322809999999996
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - New average value: 0.03505025
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - RSI: 0.31107920555055557. MACD: 8.238451312520844E-5. Average: 0.035316284
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - New average value: 0.03506250000000001
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - RSI: 6.588355464764803. MACD: 1.3869614922520332E-4. Average: 0.03531239866666667
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - New average value: 0.0350507
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - RSI: 6.553213106430491. MACD: 1.913088370837261E-4. Average: 0.03530744066666667
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - New average value: 0.035026600000000005
[INFO ] 2021-04-05 10:58:32,437 com.rds.algorithms.Algorithm - RSI: 6.139933365068529. MACD: 2.1481090559750482E-4. Average: 0.035300677333333336
